,0
0,-18.88369333333361
1,8.51655449999979
2,11.73116443333313
3,-7.9326880000002085
4,-1.5863016000002488
5,-14.285412833333558
6,11.593506066666425
7,-15.651271666666858
8,-14.608360000000173
9,-1.7650464000001425
10,
11,-4.287154883333545
