,0
0,2.883573333333329
1,-4.221273333333335
2,5.831663199999991
3,5.515314999999993
4,-4.0653256333333365
5,7.093356499999989
6,6.978921666666661
7,7.809879999999995
8,2.971693333333334
9,15.880198799999997
10,
11,4.667800286666662
