Date,Open,High,Low,Close,Volume,SMA10,EMA10
5/31/2000,23.0,25.25,23.0,24.25,17818,23.8,24.020337383905527
6/1/2000,24.5,25.25,24.0,24.5,11491,23.6,24.107548768649977
6/2/2000,25.25,26.0,25.0,26.0,21760,23.625,24.451630810713617
6/5/2000,26.75,27.25,26.5,26.5,20474,23.85,24.82406157240205
6/6/2000,26.5,26.5,25.25,25.75,7429,24.125,24.992414013783495
6/7/2000,25.25,25.75,25.25,25.5,5288,24.35,25.084702374913768
6/8/2000,25.75,26.0,25.5,25.75,2592,24.65,25.205665579474896
6/9/2000,25.5,26.0,25.25,25.5,5431,24.9,25.259180928661277
6/12/2000,25.25,25.75,24.75,25.25,2357,25.15,25.257511668904677
6/13/2000,24.75,24.75,24.0,24.0,7469,25.3,25.028873183649278
6/14/2000,24.25,24.25,23.0,24.0,17525,25.275,24.84180533207668
6/15/2000,23.75,25.5,23.25,24.25,31005,25.25,24.734204362608192
6/16/2000,24.75,25.0,24.0,24.25,12734,25.075,24.64616720577034
6/19/2000,23.75,24.0,23.5,23.5,6614,24.775,24.43777316835755
6/20/2000,24.0,24.0,23.5,23.5,5297,24.55,24.267268955928902
6/21/2000,23.5,23.5,23.25,23.5,3214,24.35,24.127765509396372
6/22/2000,24.5,24.75,23.25,23.25,20085,24.1,23.96817178041521
6/23/2000,23.25,23.5,23.0,23.25,2471,23.875,23.83759509306699
6/26/2000,23.25,23.25,22.75,22.75,4592,23.625,23.639850530691174
6/27/2000,23.25,23.25,22.75,23.25,2702,23.55,23.56896861602005
6/28/2000,23.25,23.5,23.0,23.5,3461,23.5,23.55642886765277
6/29/2000,23.25,23.25,22.5,22.5,5783,23.325,23.3643508917159
6/30/2000,22.5,22.75,21.75,22.0,12575,23.1,23.1162870932221
7/3/2000,22.0,22.0,20.5,20.5,12590,22.8,22.640598530818078
7/4/2000,20.5,20.75,19.75,20.25,16128,22.475,22.20594425248752
7/5/2000,20.25,20.5,19.75,20.25,9470,22.15,21.850318024762515
7/6/2000,20.0,20.5,19.75,20.5,6400,21.875,21.604805656623874
7/7/2000,20.25,21.0,20.25,20.5,6430,21.6,21.403931900874078
7/10/2000,21.0,21.25,20.5,20.5,14962,21.375,21.2395806461697
7/11/2000,20.75,21.0,20.75,20.75,8268,21.125,21.150565983229754
7/12/2000,21.0,21.0,20.25,20.5,5237,20.825,21.03228125900616
7/13/2000,20.5,20.5,20.0,20.25,5066,20.6,20.890048302823224
7/14/2000,20.5,20.5,19.25,19.75,16573,20.375,20.682766793219
7/18/2000,19.5,19.5,19.25,19.5,5813,20.275,20.467718285361
7/19/2000,19.5,19.5,19.0,19.25,7871,20.175,20.246314960749906
7/20/2000,19.0,19.0,17.5,17.75,30637,19.925,19.79243951334083
7/21/2000,18.0,18.25,17.5,17.5,14552,19.625,19.375632329097044
7/24/2000,17.25,17.25,16.25,16.25,18075,19.2,18.80733554198849
7/25/2000,16.0,17.0,15.75,16.75,23285,18.825,18.43327453435422
7/26/2000,16.75,16.75,15.5,15.5,28337,18.3,17.899951891744358
7/27/2000,15.0,15.75,14.75,15.25,22520,17.775,17.418142456881746
7/28/2000,15.5,15.75,15.25,15.5,12865,17.3,17.069389282903245
7/31/2000,15.25,15.25,14.5,14.75,10472,16.8,16.6476821405572
8/1/2000,14.75,16.0,14.5,15.75,22595,16.425,16.484467205910438
8/2/2000,15.75,16.75,15.25,16.5,40299,16.15,16.487291350290356
8/3/2000,16.5,17.75,16.25,17.75,32639,16.15,16.716874741146654
8/4/2000,18.25,18.75,18.0,18.0,46538,16.2,16.950170242756354
8/7/2000,18.5,18.5,17.5,17.75,22214,16.35,17.09559383498247
8/8/2000,18.0,19.25,17.75,19.0,31443,16.575,17.441849501349292
8/9/2000,19.5,20.0,19.0,19.0,40562,16.925,17.725149592013057
8/10/2000,19.0,19.5,18.25,18.5,25439,17.25,17.866031484374318
8/11/2000,18.5,18.75,18.25,18.75,15483,17.575,18.026753032669895
8/15/2000,19.0,19.5,19.0,19.25,18432,18.025,18.24916157218446
8/16/2000,19.25,19.75,19.0,19.75,7660,18.425,18.522041286332737
8/17/2000,19.75,20.75,19.5,20.25,38173,18.8,18.836215597908602
8/18/2000,20.25,20.25,19.5,19.75,10236,19.0,19.00235821647067
8/21/2000,19.25,19.5,18.75,18.75,8684,19.075,18.956474904385093
8/22/2000,18.75,19.5,18.75,19.25,3746,19.225,19.0098431035878
8/23/2000,19.5,19.5,18.25,18.25,10517,19.15,18.871689812026382
8/24/2000,18.25,18.75,18.25,18.5,10833,19.1,18.804109846203403
8/25/2000,18.5,18.75,18.5,18.5,4861,19.1,18.748817146893693
8/28/2000,18.5,18.75,18.0,18.25,4887,19.05,18.65812312018575
8/29/2000,18.25,19.0,18.25,18.75,4785,19.0,18.674828007424704
8/30/2000,18.75,19.0,18.5,18.5,6243,18.875,18.643041096983847
8/31/2000,18.5,18.5,18.25,18.5,5814,18.7,18.617033624804964
9/1/2000,18.75,18.75,18.5,18.5,7095,18.575,18.595754783931334
9/4/2000,18.75,18.75,18.25,18.25,2528,18.525,18.532890277762
9/5/2000,18.25,18.5,18.0,18.5,2886,18.45,18.52691022725982
9/6/2000,18.25,18.25,17.5,17.5,6141,18.375,18.340199276848942
9/7/2000,17.5,17.5,16.25,16.25,17284,18.15,17.96016304469459
9/8/2000,16.25,16.5,16.25,16.25,15469,17.925,17.649224309295573
9/11/2000,16.0,16.0,15.5,16.0,10474,17.7,17.349365343969104
9/12/2000,15.75,16.0,15.75,16.0,8449,17.425,17.104026190520177
9/13/2000,16.25,16.5,16.0,16.0,24215,17.175,16.903294155880143
9/14/2000,16.0,16.0,15.5,15.5,14575,16.875,16.648149763901934
9/15/2000,15.75,16.25,15.75,16.25,11844,16.65,16.575758897737945
9/18/2000,16.0,16.0,15.75,15.75,8348,16.4,16.425620916331045
9/19/2000,15.75,16.25,15.75,15.75,5067,16.125,16.3027807497254
9/20/2000,16.0,16.0,15.5,15.75,10028,15.95,16.202275158866236
9/21/2000,15.75,16.0,15.75,16.0,4408,15.925,16.16549785725419
9/22/2000,16.0,16.0,15.75,15.75,11958,15.875,16.089952792298885
9/25/2000,16.0,16.5,16.0,16.25,11968,15.9,16.119052284608177
9/26/2000,16.25,17.0,16.25,17.0,18792,16.0,16.2792245964976
