,Date,Open,High,Low,Close,Volume,UB,MB,LB,Signal
79,4/28/2000,32.5,32.5,31.75,31.75,8298,34.138552188738736,32.8875,31.63644781126127,-1
80,5/2/2000,31.75,32.0,30.5,30.5,9096,34.30530643264313,32.725,31.144693567356878,-1
81,5/3/2000,30.5,30.5,29.5,29.5,12257,34.72288484144035,32.5875,30.452115158559646,-1
82,5/4/2000,29.5,30.0,29.25,29.5,6901,34.992274158059566,32.45,29.907725841940444,-1
83,5/8/2000,29.5,29.5,28.5,28.75,7154,35.29510787546237,32.2625,29.229892124537635,-1
84,5/9/2000,28.5,28.75,28.0,28.0,10945,35.64562932915828,32.0625,28.479370670841718,-1
85,5/10/2000,28.0,28.0,26.25,26.75,21968,36.06360178416678,31.775,27.48639821583322,-1
86,5/11/2000,26.25,26.5,25.5,25.5,18838,36.476778920784994,31.4,26.323221079215003,-1
87,5/12/2000,26.0,26.5,25.75,26.0,15530,36.53790352383918,31.025,25.51209647616082,1
88,5/15/2000,26.0,26.0,25.0,25.5,6717,36.60023219361188,30.65,24.699767806388117,1
89,5/16/2000,26.0,27.25,25.5,27.25,11375,36.181729069083836,30.3,24.41827093091617,1
90,5/18/2000,26.25,26.5,25.75,26.5,9285,35.94620282337615,29.975,24.003797176623856,1
91,5/19/2000,26.5,26.5,25.75,25.75,12945,35.68979813581492,29.6125,23.535201864185083,1
92,5/22/2000,25.25,25.25,24.0,24.25,17116,35.481012168850036,29.175,22.868987831149965,1
93,5/23/2000,24.0,24.0,23.0,23.0,10785,35.18412096935049,28.65,22.11587903064951,1
94,5/24/2000,22.75,23.25,22.0,23.25,8807,34.677810229242745,28.1375,21.597189770757254,1
95,5/25/2000,23.75,24.0,22.5,22.75,9365,34.16737201471667,27.625,21.08262798528333,1
96,5/26/2000,22.75,23.25,21.0,23.0,14063,33.46306379200931,27.125,20.786936207990692,1
97,5/29/2000,23.25,23.5,22.75,22.75,4088,32.791746708516996,26.65,20.508253291483,1
98,5/30/2000,23.0,23.0,22.5,22.5,1622,31.83023544459126,26.1375,20.44476455540874,1
99,5/31/2000,23.0,25.25,23.0,24.25,17818,30.85499964473041,25.7625,20.67000035526959,1
100,6/1/2000,24.5,25.25,24.0,24.5,11491,30.063057746507237,25.4625,20.86194225349276,1
101,6/2/2000,25.25,26.0,25.0,26.0,21760,29.4904907897767,25.2875,21.084509210223302,1
102,6/5/2000,26.75,27.25,26.5,26.5,20474,28.89836146346403,25.1375,21.376638536535967,1
103,6/6/2000,26.5,26.5,25.25,25.75,7429,28.361062071851055,24.9875,21.613937928148946,1
104,6/7/2000,25.25,25.75,25.25,25.5,5288,27.938189909768706,24.8625,21.786810090231295,1
105,6/8/2000,25.75,26.0,25.5,25.75,2592,27.78993708228197,24.8125,21.83506291771803,1
106,6/9/2000,25.5,26.0,25.25,25.5,5431,27.78993708228197,24.8125,21.83506291771803,1
107,6/12/2000,25.25,25.75,24.75,25.25,2357,27.708024305891065,24.775,21.841975694108932,1
108,6/13/2000,24.75,24.75,24.0,24.0,7469,27.631678161412957,24.7,21.768321838587042,1
109,6/14/2000,24.25,24.25,23.0,24.0,17525,27.224089503049385,24.5375,21.85091049695062,1
110,6/15/2000,23.75,25.5,23.25,24.25,31005,26.94909441811897,24.425,21.90090558188103,1
111,6/16/2000,24.75,25.0,24.0,24.25,12734,26.796264606766034,24.35,21.90373539323397,1
112,6/19/2000,23.75,24.0,23.5,23.5,6614,26.78803821899089,24.3125,21.83696178100911,1
113,6/20/2000,24.0,24.0,23.5,23.5,5297,26.766897802792062,24.3375,21.908102197207935,1
114,6/21/2000,23.5,23.5,23.25,23.5,3214,26.75831891575854,24.35,21.941681084241463,1
115,6/22/2000,24.5,24.75,23.25,23.25,20085,26.72301147670475,24.375,22.02698852329525,1
116,6/23/2000,23.25,23.5,23.0,23.25,2471,26.707181239444758,24.3875,22.06781876055524,1
117,6/26/2000,23.25,23.25,22.75,22.75,4592,26.707181239444758,24.3875,22.06781876055524,1
118,6/27/2000,23.25,23.25,22.75,23.25,2702,26.637999869194083,24.425,22.21200013080592,1
119,6/28/2000,23.25,23.5,23.0,23.5,3461,26.638084719344675,24.3875,22.136915280655323,1
120,6/29/2000,23.25,23.25,22.5,22.5,5783,26.689664594036493,24.2875,21.88533540596351,1
