,Date,Open,High,Low,Close,Volume,RSI,Signal
99,5/31/2000,23.0,25.25,23.0,24.25,17818,37.63813529723406,1
100,6/1/2000,24.5,25.25,24.0,24.5,11491,39.19053899458819,1
101,6/2/2000,25.25,26.0,25.0,26.0,21760,47.616442790742504,1
102,6/5/2000,26.75,27.25,26.5,26.5,20474,50.09855762283516,1
103,6/6/2000,26.5,26.5,25.25,25.75,7429,46.53653350917423,1
104,6/7/2000,25.25,25.75,25.25,25.5,5288,45.37833339605816,1
105,6/8/2000,25.75,26.0,25.5,25.75,2592,46.80411272418726,1
106,6/9/2000,25.5,26.0,25.25,25.5,5431,45.5243891304493,1
107,6/12/2000,25.25,25.75,24.75,25.25,2357,44.22224915811543,1
108,6/13/2000,24.75,24.75,24.0,24.0,7469,38.32028035717348,1
109,6/14/2000,24.25,24.25,23.0,24.0,17525,38.32028035717348,1
110,6/15/2000,23.75,25.5,23.25,24.25,31005,40.17235031291832,1
111,6/16/2000,24.75,25.0,24.0,24.25,12734,40.17235031291831,1
112,6/19/2000,23.75,24.0,23.5,23.5,6614,36.37240271164871,1
113,6/20/2000,24.0,24.0,23.5,23.5,5297,36.37240271164871,1
114,6/21/2000,23.5,23.5,23.25,23.5,3214,36.372402711648725,1
115,6/22/2000,24.5,24.75,23.25,23.25,20085,34.994303402242295,1
116,6/23/2000,23.25,23.5,23.0,23.25,2471,34.994303402242295,1
117,6/26/2000,23.25,23.25,22.75,22.75,4592,32.16732294777367,1
118,6/27/2000,23.25,23.25,22.75,23.25,2702,37.596328414205445,1
119,6/28/2000,23.25,23.5,23.0,23.5,3461,40.17455992250303,1
120,6/29/2000,23.25,23.25,22.5,22.5,5783,34.104794815597245,1
121,6/30/2000,22.5,22.75,21.75,22.0,12575,31.538992131913105,1
122,7/3/2000,22.0,22.0,20.5,20.5,12590,25.372056425839304,1
123,7/4/2000,20.5,20.75,19.75,20.25,16128,24.511795556600845,1
124,7/5/2000,20.25,20.5,19.75,20.25,9470,24.511795556600845,1
125,7/6/2000,20.0,20.5,19.75,20.5,6400,27.367889767498767,1
126,7/7/2000,20.25,21.0,20.25,20.5,6430,27.367889767498767,1
127,7/10/2000,21.0,21.25,20.5,20.5,14962,27.367889767498767,1
128,7/11/2000,20.75,21.0,20.75,20.75,8268,30.64524650205172,1
129,7/12/2000,21.0,21.0,20.25,20.5,5237,29.225091908337404,1
130,7/13/2000,20.5,20.5,20.0,20.25,5066,27.835899360540665,1
131,7/14/2000,20.5,20.5,19.25,19.75,16573,25.250696648720407,1
132,7/18/2000,19.5,19.5,19.25,19.5,5813,24.04808730762967,1
133,7/19/2000,19.5,19.5,19.0,19.25,7871,22.87482871769437,1
134,7/20/2000,19.0,19.0,17.5,17.75,30637,17.392057743167612,1
135,7/21/2000,18.0,18.25,17.5,17.5,14552,16.67470328478396,1
136,7/24/2000,17.25,17.25,16.25,16.25,18075,13.644366502196831,1
137,7/25/2000,16.0,17.0,15.75,16.75,23285,19.913891637127875,1
138,7/26/2000,16.75,16.75,15.5,15.5,28337,16.657864658912388,1
139,7/27/2000,15.0,15.75,14.75,15.25,22520,16.091188859167147,1
140,7/28/2000,15.5,15.75,15.25,15.5,12865,19.0565772647483,1
141,7/31/2000,15.25,15.25,14.5,14.75,10472,17.103719870979162,1
142,8/1/2000,14.75,16.0,14.5,15.75,22595,27.736952667005298,1
143,8/2/2000,15.75,16.75,15.25,16.5,40299,34.520849896666434,1
144,8/3/2000,16.5,17.75,16.25,17.75,32639,43.963007403360706,1
145,8/4/2000,18.25,18.75,18.0,18.0,46538,45.65101472473643,1
146,8/7/2000,18.5,18.5,17.5,17.75,22214,44.21661663535727,1
147,8/8/2000,18.0,19.25,17.75,19.0,31443,52.28885200853627,1
148,8/9/2000,19.5,20.0,19.0,19.0,40562,52.28885200853627,1
149,8/10/2000,19.0,19.5,18.25,18.5,25439,48.9995026974657,1
150,8/11/2000,18.5,18.75,18.25,18.75,15483,50.670449912268225,1
151,8/15/2000,19.0,19.5,19.0,19.25,18432,53.92204315647507,1
152,8/16/2000,19.25,19.75,19.0,19.75,7660,56.97614202883795,1
153,8/17/2000,19.75,20.75,19.5,20.25,38173,59.84256655167599,1
154,8/18/2000,20.25,20.25,19.5,19.75,10236,55.83636340299494,1
155,8/21/2000,19.25,19.5,18.75,18.75,8684,48.79987260871823,1
156,8/22/2000,18.75,19.5,18.75,19.25,3746,52.053379197920485,1
157,8/23/2000,19.5,19.5,18.25,18.25,10517,45.786735427733866,1
158,8/24/2000,18.25,18.75,18.25,18.5,10833,47.48874944573158,1
159,8/25/2000,18.5,18.75,18.5,18.5,4861,47.48874944573158,1
160,8/28/2000,18.5,18.75,18.0,18.25,4887,45.82040446979652,1
161,8/29/2000,18.25,19.0,18.25,18.75,4785,49.63165489399405,1
162,8/30/2000,18.75,19.0,18.5,18.5,6243,47.82031944029161,1
163,8/31/2000,18.5,18.5,18.25,18.5,5814,47.820319440291605,1
164,9/1/2000,18.75,18.75,18.5,18.5,7095,47.82031944029161,1
165,9/4/2000,18.75,18.75,18.25,18.25,2528,45.73559565616869,1
166,9/5/2000,18.25,18.5,18.0,18.5,2886,48.16897881037416,1
167,9/6/2000,18.25,18.25,17.5,17.5,6141,40.37058482470609,1
168,9/7/2000,17.5,17.5,16.25,16.25,17284,33.1466738575386,1
169,9/8/2000,16.25,16.5,16.25,16.25,15469,33.1466738575386,1
170,9/11/2000,16.0,16.0,15.5,16.0,10474,31.82572789537437,1
171,9/12/2000,15.75,16.0,15.75,16.0,8449,31.82572789537437,1
172,9/13/2000,16.25,16.5,16.0,16.0,24215,31.82572789537437,1
173,9/14/2000,16.0,16.0,15.5,15.5,14575,28.94439390697616,1
174,9/15/2000,15.75,16.25,15.75,16.25,11844,38.010291216754844,1
175,9/18/2000,16.0,16.0,15.75,15.75,8348,34.820643872650535,1
