,0
0,-6.169593333333353
1,3.504008499999972
2,7.470086399999971
3,-19.44281500000002
4,-10.775441433333361
5,-2.3260521666666802
6,-11.306925333333357
7,-10.613521666666687
8,-6.441333333333356
9,1.3830435333333104
10,
11,-5.471854383333356
